StationID,STATION NAME,LOCATION,INDUSTRY DOMAIN,STIPEND (UG),STIPEND (PG),NO. OF PROJECT,PREFERRED DISCIPLINES
544,Here Maps - A Nokia Company(Mumbai),Mumbai,IT,20000,0,3,"A3 , A7 , A8 , AA , Any , C6 , H103 , H112"
451,HILTI India Pvt. Ltd.(Mumbai),Mumbai,Fin&mgt,15000,0,1,A2
1313,Holachef Hospitality Pvt. Ltd(Mumbai),Mumbai,,15000,0,2,"A7 , H149"
455,Hourglass Research(Mumbai),Mumbai,Electronics  ,15000,0,1,"A3 , A7 , A8 , Any , C6"
731,Housing.com (Locon Solutions Private Limited)(Mumbai),Mumbai,IT,45000,0,7,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , Any , B1 , B2 , B3 , B4 , B5 , C2 , C6 , C7 , D2"
478,IPCA Laboratories Ltd.(Mumbai),Mumbai,Health Care,0,0,1,H129
1189,J P MORGAN -CIB(Mumbai),Mumbai,,60000,0,1,A7
484,J.P. Morgan Chase(Mumbai),Mumbai,Fin&mgt,15000,0,1,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AA , AB , Any , B1 , B2 , B3 , B4 , B5 , C6 , C7"
483,J.P. Morgan Services India Pvt. Ltd(Mumbai),Mumbai,Fin&mgt,30000,0,3,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AA , AB , Any , B1 , B2 , B3 , B4 , B5 , C2 , C6 , C7"
818,John F Welch Technology Center (GE)(Mumbai),Mumbai,Mechanical,0,0,1,"A4 , A7 , A8 , AA , H101 , H103 , H106 , H123 , H124 , H140 , H141 , H148"
500,KPMG(Mumbai),Mumbai,Fin&mgt,15000,0,1,"A1 , A3 , A4 , A7 , A8 , AA , C6"
743,L&T Infotech(Mumbai),Mumbai,IT,15000,0,1,"A7 , Any , C6"
1281,LogicRoots Pvt. Ltd.(Mumbai),Mumbai,,35000,0,3,"A7 , C6 , H149"
513,Mayuresh Group(Mumbai),Mumbai,Infrastructure,10000,0,1,"A1 , A2 , A3 , A7 , A8 , AA , C6"
519,Morningstar(Mumbai),Mumbai,Fin&mgt,30000,0,5,"A1 , A7 , AA , B3 , B4 , C6 , C7"
521,MSCI Bara Client Services(Mumbai),Mumbai,IT,25000,0,1,"A7 , Any , B3 , B5 , C6 , C7"
522,"MSCI Barra, Data Management(Mumbai)",Mumbai,Fin&mgt,25000,0,1,"A7 , Any , B3"
523,"MSCI Barra, Quantitative Equity Research(Mumbai)",Mumbai,Fin&mgt,40000,0,1,"A1 , A2 , A3 , A7 , A8 , AA , B3 , C6 , C7"
524,MSCI Financial Planning & Analysis(Mumbai),Mumbai,Fin&mgt,30000,0,1,A7
525,MSCI Index and Research(Mumbai),Mumbai,Fin&mgt,30000,0,1,"A3 , A7 , A8 , B3 , B4 , C7"
526,MSCI Technology & Development(Mumbai),Mumbai,Fin&mgt,25000,0,1,-
1138,Nomura Services India Pvt (Mumbai),Mumbai,Fin&mgt,35000,0,5,"Any , B3 , B4"
556,Oracle Financial Services Software Ltd. ( OFSS)(Mumbai),Mumbai,IT,25000,0,2,"A7 , AA"
1298,Price waterhouse Coopers (PWC)(Mumbai),Mumbai,,25000,0,1,"Any , B3"
601,Skoda Auto India Pvt. Ltd.(Mumbai),Mumbai,Mechanical,14000,0,5,"A4 , AB , H149"
1317,Skumars Online(Mumbai),Mumbai,,10000,0,1,"A2 , B2"
829,Tata Motors(Mumbai),Mumbai,Mechanical,0,0,1,"A4 , AB , Any"
1289,TATA POWERS(Mumbai),Mumbai,,5000,0,2,"A3 , A4 , B4"
813,VMS (Vakil Mehta Seth) Consultants Private Limited(Mumbai),Mumbai,Infrastructure,8000,0,1,"A2 , H143"
665,Worley Parsons India(Mumbai),Mumbai,Infrastructure,19000,0,2,"A1 , A2 , A3 , A4 , A8"
1302,Zimmber(Mumbai),Mumbai,,25000,0,2,"A7 , C6"
444,Grasim Chemicals(Nagda),Nagda,Chemical,0,0,1,"A1 , A3 , A4 , A7 , Any , C6"
445,Grasim Industries Ltd.(Nagda),Nagda,Chemical,5000,0,2,A1
193,Global Logic(Nagpur),Nagpur,IT,15000,0,1,"A7 , Any , C6"
706,Metalfab Hightech Pvt. Ltd.(Nagpur),Nagpur,Mechanical,7500,0,1,"A7 , C6"
196,Techture Structures Pvt Ltd.(Nagpur),Nagpur,Infrastructure,5000,0,3,"A2 , A4 , A7 , Any , H149"
376,Central Road Research Institute(New Delhi),New Delhi,Infrastructure,0,0,1,"A2 , Any , H130"
446,Grey Orange Robotics Pvt. Ltd.(New Delhi),New Delhi,Mechanical,25000,0,3,"A3 , A4 , A7 , A8 , C6"
452,HILTI India Pvt. Ltd.(New Delhi),New Delhi,Fin&mgt,15000,0,1,"A2 , A3 , A4"
769,LEA Associates(New Delhi),New Delhi,Infrastructure,8000,10000,1,"A2 , Any , H130 , H143 , H144"
532,National Council of Applied Economic Research(New Delhi),New Delhi,Fin&mgt,6500,0,2,B3
535,National Institute of Science and Tech. Dev. Studies (NISTADS)(New Delhi),New Delhi,Others,3000,0,2,"A7 , Any , B3 , C6"
652,Value Edge India(New Delhi),New Delhi,Health Care,15000,0,1,"A3 , A5 , A8 , H108 , H146 , H147"
1233,Adobe Systems(Noida),Noida,IT,40000,0,1,A7
1123,ARM Embedded Technologies Private Limited(Noida),Noida,Electronics  ,20000,0,1,"A3 , A7 , A8 , AA , Any , C2 , C6 , H123"
757,Barclays(Noida),Noida,Fin&mgt,25000,0,1,"B3 , H149"
1150,EDCIL INDIA LTD(Noida),Noida,,10000,0,1,"A2 , A3 , A7 , H149"
439,Global Logic(Noida),Noida,IT,15000,0,1,"A1 , A7"
1287,Mount Talent Consulting(Noida),Noida,,0,10000,1,H149
554,Opera Solutions(Noida),Noida,IT,40000,0,1,"A7 , Any , C6"
816,Tolexo Online Pvt Ltd(Noida),Noida,Fin&mgt,0,20000,1,"H129 , H149"
608,Spicer India Ltd.(Pantnagar),Pantnagar,Mechanical,8000,0,1,-
809,Tata Motors(Pantnagar),Pantnagar,Mechanical,0,0,1,"A4 , A8 , AB , Any"
431,Gabrel India Ltd(Parwanoo),Parwanoo,Mechanical,0,0,1,A4
510,Mahle Filters India Ltd(Parwanoo),Parwanoo,Mechanical,0,0,1,-
674,Central Electronics Engineering Research Institute(Pilani),Pilani,Electronics  ,8000,0,5,"A3 , A4 , A7 , A8 , AA , B5"
1081,AFour Technologies(Pune),Pune,IT,20000,0,1,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AA , C6"
1242,Alfa Laval (India) Limited(Pune),Pune,,5000,5000,1,"A1 , A4 , A7 , H101 , H103 , H106"
355,Avaya India Private Limited(Pune),Pune,IT,18000,0,1,"A3 , A7 , A8 , AA , C6 , H103 , H112"
357,B.G.Shirke Construction Technology Pvt. Ltd.(Pune),Pune,Infrastructure,9000,0,1,"A2 , H143 , H144"
360,Behr India Ltd(Pune),Pune,Mechanical,8000,0,1,A4
755,Bentley Systems India Pvt Ltd(Pune),Pune,IT,18000,0,1,"A1 , A3 , A7 , A8 , AA , C6 , H103 , H112"
212,Bharat Forge Ltd(Pune),Pune,Mechanical,5000,0,2,"A4 , AB , Any , B5 , H106 , H141 , H142"
1214,Bit Mapper(Pune),Pune,,5000,5000,1,"A3 , A4 , H106 , H123 , H140"
393,Credit Suisse(Pune),Pune,Fin&mgt,25000,0,39,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AB , Any , B1 , B2 , B3 , B4 , B5 , C2 , C6 , C7 , D2 , H149"
1112,Divgi Metalwares Pvt. Ltd. (Pune),Pune,Mechanical,10500,0,1,"A4 , AB , Any"
215,Divgi Warner Pvt Ltd(Pune),Pune,Mechanical,10000,0,3,"A4 , AB , H149"
411,Eaton Technologies(Pune),Pune,Mechanical,10500,0,1,A4
430,Gabrel India Ltd(Pune),Pune,Mechanical,8000,0,1,A4
460,IDeaS - SAS(Pune),Pune,IT,25000,0,1,"A1 , A7 , A8 , AA , Any , C6"
1084,Intel India Technology Pvt. Ltd.(Pune),Pune,Electronics  ,22000,0,1,"A3 , A7 , B4 , B5 , C2 , C6"
693,Lupin Pharma(Pune),Pune,Health Care,0,0,1,H146
1305,Mahle Beher India Pvt Ltd(Pune),Pune,Mechanical,0,0,2,A4
511,Mahle Filters India Ltd(Pune),Pune,Mechanical,8000,0,1,A1
308,National Chemical Laboratory(Pune),Pune,Chemical,0,0,1,"A1 , A3 , A4 , A7 , A8 , AA , B2 , B5 , H101"
551,Nvidia Graphics(Pune),Pune,Electronics  ,25000,0,3,"A1 , A7 , A8 , AA , Any , C6 , H103 , H112 , H140"
581,Reflexis Systems India Pvt Ltd.(Pune),Pune,IT,20000,0,1,Any
1266,SG Analytics(Pune),Pune,Health Care,15000,15000,1,"H108 , H129"
293,SKF India Ltd.(Pune),Pune,Mechanical,6000,0,1,"A4 , AB , H106 , H142"
602,Skoda Auto India Pvt. Ltd. (Chakan)(Pune),Pune,Mechanical,12000,0,1,"A1 , Any , H106 , H149"
1063,Sokrati Technologies Pvt. Ltd.(Pune),Pune,IT,20000,0,1,"A7 , Any , C6"
610,Spicer India Ltd.(Pune),Pune,Mechanical,8000,0,1,-
1230,Symantec Software Solutions Pvt. Ltd.(Pune),Pune,IT,40000,40000,2,"A7 , AA , Any , C6"
625,Tata Autocomp Systems Ltd.(Pune),Pune,Mechanical,12000,0,2,A4
821,Tata Chemical Innovation Center(Pune),Pune,Chemical,10000,0,1,"A1 , B1 , B2 , B5 , H101 , H129"
630,Tata Motors(Pune),Pune,Mechanical,12000,0,1,"A3 , A4 , A7 , A8 , AA , AB , C6"
631,Tata Technologies(Pune),Pune,Mechanical,12000,0,1,-
637,Tensilica(Pune),Pune,Electronics  ,18000,0,1,"A3 , A8 , AA , Any"
222,Thermax India(Pune),Pune,Mechanical,5000,0,1,"A4 , H106"
1274,Trinamix Systems Pvt. Ltd. (Pune),Pune,IT,15000,0,1,"A4 , A7 , AA"
658,VMware Software India Pvt. Ltd.(Pune),Pune,IT,30000,0,1,A7
669,ZS Associates(Pune),Pune,Fin&mgt,25000,0,2,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , Any , B2 , B3 , B4 , B5 , C2 , C6 , C7 , D2"
375,Central Building Research Institute(Roorkee),Roorkee,Infrastructure,4000,0,2,"A2 , Any"
811,Tata Motors(Sanand),Sanand,Mechanical,0,0,1,"A4 , AB"
611,Spicer India Ltd.(Satara),Satara,Mechanical,8000,0,2,A4
279,Divgi Warner Pvt Ltd(Sirsi),Sirsi,Mechanical,10000,0,1,"A4 , AB , Any"
320,Ace Business and Market Research Group(Surat),Surat,Fin&mgt,10000,0,1,"A5 , Any , B1 , C6 , H108 , H149"
675,Aditya Birla Chemicals(Thailand)Ltd-Sulphites(Thailand),Thailand,Chemical,5000,5000,1,"A1 , A4 , AB , Any"
243,Centre For Development Of Imaging Technology (Trivandrum),Trivandrum,IT,5000,0,1,"A3 , A7 , A8 , AA , Any , B4 , C6"
493,Klientas(Trivandrum),Trivandrum,Fin&mgt,12500,0,1,Any
711,Leap Consulting(Trivandrum),Trivandrum,IT,5000,0,1,Any
558,Oracle India Pvt Ltd.(Trivandrum),Trivandrum,IT,0,0,1,"A1 , A7"
1243,Knox Payments(USA),USA,,0,500,1,H149
1115,Atul Ltd.(Valsad),Valsad,Chemical,6000,6000,2,"A1 , A3 , A4 , A8"
1321,Vijaynirman Co Pvt Ltd(Vijayawada),Vijayawada,,0,0,1,A2
250,Jsw Steel(Vijaynagar),Vijaynagar,Mechanical,5000,0,1,"A1 , A4"
