StationID,STATION NAME,LOCATION,INDUSTRY DOMAIN,STIPEND (UG),STIPEND (PG),NO. OF PROJECT,PREFERRED DISCIPLINES
1275,MathWorks India Private Limited(Bangalore),Bangalore,,0,30000,1,"H103 , H123 , H124 , H140"
514,Media Iq Digital(Bangalore),Bangalore,Fin&mgt,20000,0,2,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , Any , B3 , B4"
515,Mercedes Benz(Bangalore),Bangalore,Mechanical,12000,0,1,"A3 , A4 , A7 , H106"
676,Myntra.com(Bangalore),Bangalore,IT,25000,0,1,"A3 , A7 , A8 , AA , C6"
395,National Aerospace Laboratories(Bangalore),Bangalore,Mechanical,0,0,6,"A1 , A4 , B2 , B5"
531,National Centre for Biological Sciences(Bangalore),Bangalore,Health Care,0,0,1,"A1 , Any , B1 , H129"
534,National Entrepreneurship Network(Bangalore),Bangalore,Fin&mgt,15000,0,1,"A7 , Any"
536,National Instruments Systems (India) Pvt. Ltd.(Bangalore),Bangalore,Electronics  ,20000,0,3,"A3 , A7 , A8 , AA , Any , H103 , H123 , H124 , H140"
539,NetApp(Bangalore),Bangalore,IT,30000,35000,2,"A7 , AA , Any , C6 , H103 , H112"
541,NetSkope Software India Pvt. Ltd.(Bangalore),Bangalore,IT,36000,36000,1,"A7 , C6"
738,NextGen PMS Pvt. Ltd(Bangalore),Bangalore,Others,41000,0,2,"A7 , Any , C6"
1247,Nokia Solutions and Networks Pvt Ltd(Bangalore),Bangalore,IT,30000,30000,1,"H103 , H124"
550,Nutanix Technologies India Pvt. Ltd.(Bangalore),Bangalore,IT,65000,0,1,A7
19,Nvidia Graphics(Bangalore),Bangalore,Electronics  ,25000,0,15,"A3 , A7 , A8 , AA , Any , C6 , H123 , H124"
555,Oracle Financial Services Software Ltd. ( OFSS)(Bangalore),Bangalore,IT,25000,0,2,A7
559,Oracle India Pvt Ltd.(Bangalore),Bangalore,IT,25000,0,12,"A3 , A7 , A8 , Any , B4 , B5 , C6 , H103"
1252,PAYPAL(Bangalore),Bangalore,IT,50000,0,1,"A7 , AA"
854,Philips Research India(Bangalore),Bangalore,Electronics  ,20000,0,1,"A3 , A7 , AA , C6"
679,Polycom Technology (R&D) Centre Pvt. Ltd.(Bangalore),Bangalore,Electronics  ,15000,0,1,"A7 , AA , H103 , H112"
