837,"Eastbrook Landholdings,Bhubaneshwar",Bhubaneshwar,0,0,0,0,-
835,"HealthGraph,Bangalore",Bangalore,8000,0,0,0,-
449,"Hike,Gurgaon",Gurgaon,30000,0,0,1,"A7 , Any , C6"
472,"InMobi,Bangalore",Bangalore,20000,25000,0,3,"A7 , Any , C6 , H149"
852,"Morgan Stanley Advantage Services ,Bangalore",Bangalore,0,0,0,0,-
836,"Noetix - Magnitude Software,,Hyderabad",Hyderabad,15000,0,0,1,"A7 , C6"
841,"Pantaloons Fashion &Retail Ltd,Ahmedabad",Ahmedabad,0,0,0,0,-
847,"Pantaloons Fashion &Retail Ltd,Bangalore",Bangalore,0,0,0,0,-
840,"Pantaloons Fashion &Retail Ltd,Chandigarh",Chandigarh,0,0,0,0,-
849,"Pantaloons Fashion &Retail Ltd,Chennai",Chennai,0,0,0,0,-
839,"Pantaloons Fashion &Retail Ltd,Gurgaon",Gurgaon,0,0,0,0,-
844,"Pantaloons Fashion &Retail Ltd,Kolkata",Kolkata,0,0,0,0,-
848,"Pantaloons Fashion &Retail Ltd,Mangalore",Mangalore,0,0,0,0,-
828,"Pantaloons Fashion &Retail Ltd,Mumbai",Mumbai,10000,10000,0,1,"Any , H149"
843,"Pantaloons Fashion &Retail Ltd,Nagpur",Nagpur,0,0,0,0,-
838,"Pantaloons Fashion &Retail Ltd,New Delhi",New Delhi,0,0,0,0,-
842,"Pantaloons Fashion &Retail Ltd,Pune",Pune,0,0,0,0,-
846,"Pantaloons Fashion &Retail Ltd,Raipur",Raipur,0,0,0,0,-
845,"Pantaloons Fashion &Retail Ltd,Ranchi",Ranchi,0,0,0,0,-
854,"Philips Research India,Bangalore",Bangalore,15000,0,0,1,"A3, A7, AA, A6"
853,"Physio At Your Home,Gurgaon",Gurgaon,0,0,0,0,-
851,"Purpletalk,Hyderabad",Hyderabad,0,0,0,0,-
850,"SM Silicon India Pvt Ltd,Hyderabad",Hyderabad,0,0,0,0,-
832,"Solon India Pvt Ltd,Hyderabad",Hyderabad,15000,0,0,5,"A3 , A4 , A7 , AA , C6 , H106 , H143"
834,"Sukra Helitek Pvt Ltd,CHENNAI",CHENNAI,8000,0,0,1,"A4 , A7 , C6"
822,"Suyojit Infrastructure Pvt. Ltd.,Nashik",Nashik,6000,8000,0,1,"A2 , H130 , H143 , H144"
781,"Think and Learn,Bangalore",Bangalore,25000,0,0,1,Any
833,"Zinnov Management Consulting Pvt. Ltd., Bangalore,BANGALORE",Bangalore,18000,0,0,1,"A3 , A4 , A7 , A8 , C6"
