Station Ids,STATION NAME,Location,STIPEND (UG),STIPEND (PG),SCHOLARSHIP,No Of Project,REQD DISCIPLINES
570,Polycom Technology (R&D) Centre Pvt. Ltd.(Hyderabad),Hyderabad,25000,0,0,1,"A7 , AA , B4 , C6"
571,Practo Technologies Pvt. Ltd.(Bangalore),Bangalore,25000,0,0,2,"A7 , Any , C6"
722,Qubole(Bangalore),Bangalore,45000,0,0,1,A7
736,Rambus(Bangalore),Bangalore,0,0,0,1,-
576,Ramco Systems(Chennai),Chennai,25000,0,0,1,-
577,Rane Madras Ltd(Chennai),Chennai,0,0,0,0,-
803,Rane Madras Ltd(Mysore),Mysore,0,0,0,0,-
804,Rane NSK Steering Ltd(Chennai),Chennai,0,0,0,0,-
580,Reckitt Benckiser(Gurgaon),Gurgaon,20000,0,0,1,-
805,Redseer Consulting(Bangalore),Bangalore,10000,0,0,0,-
581,Reflexis Systems India Pvt Ltd.(Pune),Pune,20000,0,0,1,Any
585,Sabre Holdings(Formely Sabre Travels)(Bangalore),Bangalore,25000,0,0,12,"A3 , A7 , A8 , AA , C6"
586,Sagacious Research(Gurgaon),Gurgaon,12000,0,0,1,-
587,Salesforce(Hyderabad),Hyderabad,25000,0,0,1,A7
744,Samson and Sons builders and developers(Trivandrum),Trivandrum,0,0,0,1,-
591,Sankar Nethralaya (Chennai),Chennai,5000,0,0,1,"A3 , A7 , A8 , AA , B1 , H129"
592,SAP Labs(Bangalore),Bangalore,25000,0,0,3,"A7 , B4 , B5"
685,Sattva Media and Consulting Pvt Ltd(Bangalore),Bangalore,9000,0,0,1,Any
595,Shell Technology Center(Bangalore),Bangalore,20000,0,0,7,"A1 , A4 , A7 , B2"
761,Shimply(New Delhi),New Delhi,10000,0,0,1,-
752,Siemens Ltd(Mumbai),Mumbai,0,0,0,1,"A3 , A4 , A8"
814,Siemens technology and Services Pvt ltd(Bangalore),Bangalore,20000,0,0,1,A7
597,Silicon Image R&D Pvt Ltd(Hyderabad),Hyderabad,20000,0,0,3,"A3 , A7 , AA"
691,Singapore Post- Quantum solutions(Chennai),Chennai,20000,0,0,1,Any
599,SKF India Ltd.(Ahmedabad),Ahmedabad,0,0,0,0,-
293,SKF India Ltd.(Pune),Pune,6000,0,0,1,"A4 , AB , H106 , H142"
602,Skoda Auto India Pvt. Ltd. (Chakan)(Pune),Chakan,12000,0,0,0,-
600,Skoda Auto India Pvt. Ltd.(Aurangabad),Aurangabad,8000,0,0,1,-
601,Skoda Auto India Pvt. Ltd.(Mumbai),Mumbai,14000,0,0,2,"A4 , AB , H149"
603,Skyline Consulting Engrs Pvt. Ltd.(Nagpur),Nagpur,5000,0,0,1,-
604,Skyquest Technology Consulting Pvt. Ltd.(Ahmedabad),Ahmedabad,5000,0,0,1,"H146 , H147"
734,Smartrak(HYDERABAD),HYDERABAD,20000,0,0,1,-
782,Softech Engineers(Pune),Pune,15000,0,0,1,-
610,Spicer India Ltd.(Pune),Pune,8000,0,0,1,-
777,Sprinklr(Gurgaon),Gurgaon,50000,0,0,1,"A1 , A7 , B3 , B4 , C6 , H149"
612,SRF Ltd.(Gurgaon),Gurgaon,12000,0,0,1,-
613,ST Microelectronics(I) Pvt.Ltd.(Greater Noida),Noida,18000,0,0,1,-
615,Stellarix Consultancy Services Pvt Ltd(Jaipur),Jaipur,10000,0,0,1,"A1 , A3 , A4 , A7 , AA , AB , Any , H129"
806,Strand Life Sciences Pvt Ltd(Bangalore),Bangalore,0,0,0,0,-
616,Structural Engineering Research Centre(Chennai),Chennai,0,0,8000,2,"A2 , B2 , H143 , H144"
618,SunTec Business Solutions Pvt. Ltd.(Trivandrum),Trivandrum,10000,0,0,2,"A2 , A3 , Any , B1 , C6"
620,Syniverse Technologies(Bangalore),Bangalore,18000,0,0,0,-
622,Tangoe India Softek Pvt Ltd(Bangalore),Bangalore,25000,0,0,1,A7
624,TAS Analytic Services(Bangalore),Bangalore,15500,0,0,1,H149
625,Tata Autocomp Systems Ltd.(Pune),Pune,12000,0,0,1,-
627,Tata Consultancy Services(Gurgaon),Gurgaon,10000,0,0,0,-
810,Tata Motors(Dharwad),Dharwad,12000,0,0,1,"A4 , AB"
807,Tata Motors(Jamshedpur),Jamshedpur,12000,0,0,1,"A4 , AB"
808,Tata Motors(Lucknow),Lucknow,12000,0,0,1,"A4 , AB"
809,Tata Motors(Pantnagar),Pantnagar,12000,0,0,1,"A4 , AB"
630,Tata Motors(Pune),Pune,5000,0,0,0,-
811,Tata Motors(Sanand),Sanand,12000,0,0,1,"A4 , AB"
631,Tata Technologies(Pune),Pune,12000,0,0,1,-
196,Techture Structures Pvt Ltd.(Nagpur),Nagpur,5000,0,0,1,-
149,Tega Industries(Kolkata),Kolkata,15000,0,0,0,-
635,Tejas Networks(Bangalore),Bangalore,18000,0,0,1,"A4 , A7 , AA"
637,Tensilica(Pune),Pune,18000,0,0,1,"A3 , A8 , Any"
638,TESCO Hindustan Service Centre(Bangalore),Bangalore,25000,0,0,1,H149
639,Tetcos(Bangalore),Bangalore,20000,0,0,2,"A3 , A7 , AA , C6"
640,Texas Instruments (I) Pvt. Ltd.(Bangalore),Bangalore,25000,0,0,5,"A3 , A8 , AA , H103 , H112 , H123 , H140"
150,Texmaco Ltd.(Kolkata),Kolkata,3000,0,0,2,-
222,Thermax (Pune),Pune,5000,0,0,1,"A4 , H106"
816,Tolexo Online Pvt Ltd(Noida),Noida,22000,0,0,1,H149
643,Tonbo Imaging Pvt Ltd.(Bangalore),Bangalore,28000,0,0,4,"A3 , A7 , A8 , AA"
759,Triveni Fashions(Surat),Surat,7000,0,0,3,"A7 , H149"
646,UltraTech Cement Ltd.(Mumbai),Mumbai,20000,0,0,1,Any
650,UOP India Pvt Ltd (A Honeywell company)(Gurgaon),Gurgaon,20000,0,0,1,A1
652,Value Edge India(New Delhi),New Delhi,15000,0,0,2,"A3 , A5 , A8"
813,VMS (Vakil Mehta Seth) Consultants Private Limited(Mumbai),Mumbai,8000,0,0,1,"A2 , H143"
661,Walmart Global Technology Services(Bangalore),Bangalore,30000,0,0,3,"A7 , H103"
684,Whistle(New Delhi),New Delhi,20000,0,0,2,"A7 , C6"
812,World of Windows(Surat),Surat,0,0,0,2,-
666,Worley Parsons India(Hyderabad),Hyderabad,16000,0,0,0,-
665,Worley Parsons India(Mumbai),Mumbai,19000,0,0,3,"A1 , A2 , A8"
572,Yellow Diamond(Bangalore),Bangalore,20000,0,0,0,-
668,Zoomcar India Pvt. Ltd.(Bangalore),Bangalore,25000,0,0,1,"A3 , A7 , A8 , B3 , B4 , C6 , C7"
682,ZS Associates(Gurgaon),Gurgaon,25000,0,0,1,-
669,ZS Associates(Pune),Pune,25000,0,0,1,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB"
